Opened database successfully
image:shoe_test_8 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_3 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_1 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_10 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_2 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_9 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_6 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_7 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_5 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:shoe_test_4 	 gt_name:shoe 	 pre_name(ID):shoe_(0)
image:trousers_test_5 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:trousers_test_10 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:trousers_test_1 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:trousers_test_7 	 gt_name:trousers 	 pre_name(ID):shoe_(0)
image:trousers_test_6 	 gt_name:trousers 	 pre_name(ID):beizi_(9)
image:trousers_test_4 	 gt_name:trousers 	 pre_name(ID):phone_(2)
image:trousers_test_8 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:trousers_test_2 	 gt_name:trousers 	 pre_name(ID):phone_(2)
image:trousers_test_9 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:trousers_test_3 	 gt_name:trousers 	 pre_name(ID):trousers_(1)
image:phone_test_5 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_3 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_4 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_9 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_1 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_2 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_8 	 gt_name:phone 	 pre_name(ID):phone_(2)
image:phone_test_6 	 gt_name:phone 	 pre_name(ID):phone_(2)
